V080101a,V082425,V083037a,V083037b,V083069,V083105,V083108x,V083112,V083113,V083114a,V083114b,V083115,V083115a,V083116,V083117,V083117a,V083118,V083118a,partyID,ideology,FTobama,FTmccain,servicespending,servicespending2,servicespendingFULL,DEMmuchlessspend,DEMmorespend,DEMmuchmorespend,REPmuchlessspend,REPlessspend,REPmorespend,REPmuchmorespend,DEMlessspend
76448.51,1. Democratic Presidential cand is 1st (defense spending),85,40,2. Liberal,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,1. A lot,4. Very important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,3. Somewhat,0,0.1666667,85,40,,6,6,,,,,,,,
26856.625,1. Democratic Presidential cand is 1st (defense spending),8,15,2. Liberal,"-1. INAP, R selected for VERSION NEW",1. A lot more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,3. Somewhat,3. Moderately important,3. Less,3. Somewhat,1. More,1. A lot,0,0.1666667,8,15,,7,7,,,,,,,,
138564.81,2. Republican Presidential cand is 1st (defense spending),50,50,3. Slightly liberal,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",2,4. Very important,-8. Don't know,-8. Don't know,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.3333333,50,50,4,,4,0,1,0,0,0,1,0,0
72715.021,2. Republican Presidential cand is 1st (defense spending),5,80,4. Moderate; middle of the road,3,"-1. INAP, R selected for VERSION OLD",5,4. Very important,3,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,5,80,3,,3,0,0,0,0,0,1,0,1
55261.094,1. Democratic Presidential cand is 1st (defense spending),30,60,4. Moderate; middle of the road,2,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,-8. Don't know,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,30,60,2,,2,0,0,0,0,0,1,0,0
64870.961,2. Republican Presidential cand is 1st (defense spending),40,70,5. Slightly conservative,"-1. INAP, R selected for VERSION NEW",6. Somewhat fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,1. A lot,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",,0.6666667,40,70,,2,2,,,,,,,,
65794.745,1. Democratic Presidential cand is 1st (defense spending),60,85,5. Slightly conservative,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,3. Less,3. Somewhat,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.6666667,60,85,,4,4,,,,,,,,
69054.563,1. Democratic Presidential cand is 1st (defense spending),85,60,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,5,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,85,60,5,,5,0,1,0,0,0,1,0,0
64870.961,2. Republican Presidential cand is 1st (defense spending),40,85,6. Conservative,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,5. Slightly,4. Very important,3. Less,1. A lot,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,40,85,,4,4,,,,,,,,
73772.947,1. Democratic Presidential cand is 1st (defense spending),50,70,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,5. Slightly,1. More,1. A lot,0,0.5,50,70,,4,4,,,,,,,,
53550.814,1. Democratic Presidential cand is 1st (defense spending),50,30,2. Liberal,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,1. A lot,0.5,0.1666667,50,30,,4,4,,,,,,,,
76620.3,1. Democratic Presidential cand is 1st (defense spending),30,60,6. Conservative,1. Govt should provide many fewer services,"-1. INAP, R selected for VERSION OLD",7. Govt should increase defense spending,4. Very important,1. Govt should decrease defense spending,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,30,60,1,,1,1,0,0,0,1,0,0,0
29186.041,1. Democratic Presidential cand is 1st (defense spending),60,85,4. Moderate; middle of the road,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",4,5. Extremely important,3,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,60,85,4,,4,0,0,0,0,0,1,0,1
51262.299,2. Republican Presidential cand is 1st (defense spending),85,60,3. Slightly liberal,"-1. INAP, R selected for VERSION NEW",5. Slightly fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,1. More,5. Slightly,1. More,3. Somewhat,0,0.3333333,85,60,,3,3,,,,,,,,
256749.25,1. Democratic Presidential cand is 1st (defense spending),85,40,4. Moderate; middle of the road,6,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,3,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,85,40,6,,6,0,0,0,0,0,1,0,1
139483.66,2. Republican Presidential cand is 1st (defense spending),60,85,5. Slightly conservative,3,"-1. INAP, R selected for VERSION OLD",4,4. Very important,2,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.6666667,60,85,3,,3,0,0,0,0,0,1,0,1
63910.358,1. Democratic Presidential cand is 1st (defense spending),15,70,6. Conservative,"-1. INAP, R selected for VERSION NEW",7. A lot fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,5. Slightly,5. Extremely important,3. Less,1. A lot,1. More,3. Somewhat,1,0.8333333,15,70,,1,1,,,,,,,,
77068.602,2. Republican Presidential cand is 1st (defense spending),85,15,2. Liberal,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,1. A lot,5. Extremely important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",-8. Don't know,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,85,15,,4,4,,,,,,,,
154137.2,2. Republican Presidential cand is 1st (defense spending),0,85,6. Conservative,"-1. INAP, R selected for VERSION NEW",7. A lot fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,3. Somewhat,4. Very important,3. Less,1. A lot,1. More,3. Somewhat,1,0.8333333,0,85,,1,1,,,,,,,,
129412.51,2. Republican Presidential cand is 1st (defense spending),100,15,1. Extremely liberal,6,"-1. INAP, R selected for VERSION OLD",1. Govt should decrease defense spending,5. Extremely important,5,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0,100,15,6,,6,0,0,1,0,0,0,1,0
139624.25,1. Democratic Presidential cand is 1st (defense spending),70,40,3. Slightly liberal,"-1. INAP, R selected for VERSION NEW",7. A lot fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,5. Slightly,0,0.3333333,70,40,,1,1,,,,,,,,
101896.45,1. Democratic Presidential cand is 1st (defense spending),100,49,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,3. Somewhat,3. Moderately important,3. Less,3. Somewhat,1. More,3. Somewhat,0,0.5,100,49,,6,6,,,,,,,,
69054.563,2. Republican Presidential cand is 1st (defense spending),85,15,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",1. A lot more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,1. More,5. Slightly,3. Less,5. Slightly,0,0.5,85,15,,7,7,,,,,,,,
20861.376,2. Republican Presidential cand is 1st (defense spending),70,30,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,1. More,5. Slightly,1. More,3. Somewhat,0,0.5,70,30,,6,6,,,,,,,,
57999.019,1. Democratic Presidential cand is 1st (defense spending),85,85,5. Slightly conservative,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",4,4. Very important,3,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.6666667,85,85,4,,4,0,0,0,0,0,1,0,1
65794.745,2. Republican Presidential cand is 1st (defense spending),85,15,2. Liberal,"-1. INAP, R selected for VERSION NEW",5. Slightly fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,1. A lot,4. Very important,3. Less,3. Somewhat,1. More,3. Somewhat,,0.1666667,85,15,,3,3,,,,,,,,
54485.207,2. Republican Presidential cand is 1st (defense spending),85,50,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,5. Slightly,3. Moderately important,1. More,5. Slightly,1. More,1. A lot,0,0.5,85,50,,4,4,,,,,,,,
65794.745,1. Democratic Presidential cand is 1st (defense spending),100,40,5. Slightly conservative,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,3. Somewhat,3. Moderately important,3. Less,3. Somewhat,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.6666667,100,40,,4,4,,,,,,,,
63239.084,2. Republican Presidential cand is 1st (defense spending),40,30,-7. Haven't thought much about it,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",-8. Don't know,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",1. Not important at all,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,40,30,,4,4,,,,,,,,
53550.814,1. Democratic Presidential cand is 1st (defense spending),70,85,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,3. Somewhat,5. Extremely important,3. Less,5. Slightly,1. More,1. A lot,0.5,0.5,70,85,,4,4,,,,,,,,
25004.3,1. Democratic Presidential cand is 1st (defense spending),100,15,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",4,4. Very important,2,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,100,15,5,,5,0,0,0,0,0,1,0,1
26556.105,1. Democratic Presidential cand is 1st (defense spending),50,50,6. Conservative,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",6,5. Extremely important,-8. Don't know,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.8333333,50,50,7,,7,0,0,0,0,0,0,0,1
76620.3,2. Republican Presidential cand is 1st (defense spending),40,85,5. Slightly conservative,5,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,3,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.6666667,40,85,5,,5,0,0,0,0,0,1,0,1
46628.651,2. Republican Presidential cand is 1st (defense spending),70,40,-7. Haven't thought much about it,-7. Haven't thought much about this,"-1. INAP, R selected for VERSION OLD",-8. Don't know,5. Extremely important,6,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,70,40,4,,4,,,,,,,,
26556.105,1. Democratic Presidential cand is 1st (defense spending),75,35,2. Liberal,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",2,4. Very important,4,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,75,35,7,,7,0,1,0,0,0,0,1,0
56204.003,1. Democratic Presidential cand is 1st (defense spending),50,70,5. Slightly conservative,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",2. Slightly important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,5. Slightly,1,0.6666667,50,70,,4,4,,,,,,,,
64269.564,2. Republican Presidential cand is 1st (defense spending),30,60,6. Conservative,2,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,2,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,30,60,2,,2,0,0,0,0,0,1,0,1
98350.717,1. Democratic Presidential cand is 1st (defense spending),70,40,2. Liberal,5,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,2,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.1666667,70,40,5,,5,0,0,0,0,0,1,0,1
74844.173,1. Democratic Presidential cand is 1st (defense spending),85,85,3. Slightly liberal,6,"-1. INAP, R selected for VERSION OLD",6,5. Extremely important,-8. Don't know,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.3333333,85,85,6,,6,0,0,0,0,0,0,0,1
55261.094,1. Democratic Presidential cand is 1st (defense spending),70,15,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,3. Somewhat,3. Moderately important,3. Less,5. Slightly,1. More,1. A lot,0,0.5,70,15,,6,6,,,,,,,,
95306.854,2. Republican Presidential cand is 1st (defense spending),40,85,5. Slightly conservative,6,"-1. INAP, R selected for VERSION OLD",5,5. Extremely important,4,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.6666667,40,85,6,,6,0,0,0,0,1,0,0,1
65390.985,1. Democratic Presidential cand is 1st (defense spending),40,85,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",1. More,5. Slightly,2. Slightly important,3. Less,1. A lot,1. More,3. Somewhat,0.5,0.5,40,85,,4,4,,,,,,,,
65794.745,2. Republican Presidential cand is 1st (defense spending),85,50,3. Slightly liberal,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",3. Less,5. Slightly,3. Moderately important,1. More,5. Slightly,1. More,3. Somewhat,0.5,0.3333333,85,50,,4,4,,,,,,,,
79411.768,1. Democratic Presidential cand is 1st (defense spending),85,0,2. Liberal,6,"-1. INAP, R selected for VERSION OLD",3,3. Somewhat important,3,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.1666667,85,0,6,,6,0,0,0,0,0,0,1,0
42016.444,2. Republican Presidential cand is 1st (defense spending),100,85,3. Slightly liberal,6,"-1. INAP, R selected for VERSION OLD",-7. Haven't thought much about this,3. Somewhat important,4,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.3333333,100,85,6,,6,,,,,,,,
52798.941,2. Republican Presidential cand is 1st (defense spending),0,70,7. Extremely conservative,2,"-1. INAP, R selected for VERSION OLD",6,5. Extremely important,2,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,1,0,70,2,,2,1,0,0,0,0,0,0,0
67317.444,1. Democratic Presidential cand is 1st (defense spending),30,30,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,3. Somewhat,1. More,3. Somewhat,1,0.5,30,30,,4,4,,,,,,,,
78522.909,1. Democratic Presidential cand is 1st (defense spending),85,15,2. Liberal,"-1. INAP, R selected for VERSION NEW",2. Somewhat more,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,5. About the same,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",1. More,1. A lot,0,0.1666667,85,15,,6,6,,,,,,,,
27740.382,2. Republican Presidential cand is 1st (defense spending),85,0,-7. Haven't thought much about it,6,"-1. INAP, R selected for VERSION OLD",3,4. Very important,6,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,85,0,6,,6,0,1,0,0,0,1,0,0
33286.11,2. Republican Presidential cand is 1st (defense spending),50,40,4. Moderate; middle of the road,4,"-1. INAP, R selected for VERSION OLD",4,5. Extremely important,5,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,50,40,4,,4,0,1,0,0,0,1,0,0
57999.019,2. Republican Presidential cand is 1st (defense spending),85,15,-7. Haven't thought much about it,4,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,4,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,85,15,4,,4,0,0,0,0,0,1,0,0
