V080101a,V082425,V083037a,V083037b,V083069,V083105,V083108x,V083112,V083113,V083114a,V083114b,V083115,V083115a,V083116,V083117,V083117a,V083118,V083118a,partyID,ideology,FTobama,FTmccain,servicespending,servicespending2,servicespendingFULL,DEMmuchlessspend,DEMmorespend,DEMmuchmorespend,REPmuchlessspend,REPlessspend,REPmorespend,REPmuchmorespend,DEMlessspend
208970.05,2. Republican Presidential cand is 1st (defense spending),30,85,6. Conservative,3,"-1. INAP, R selected for VERSION OLD",3,4. Very important,2,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.8333333,30,85,3,,3,0,0,0,0,0,1,0,1
189641.53,2. Republican Presidential cand is 1st (defense spending),0,85,4. Moderate; middle of the road,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,1. Govt should decrease defense spending,6,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,0,85,7,,7,0,0,0,0,0,1,0,1
180689.23,1. Democratic Presidential cand is 1st (defense spending),15,60,4. Moderate; middle of the road,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",4,4. Very important,3,5,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.5,15,60,7,,7,0,0,0,0,0,1,0,1
104485.37,1. Democratic Presidential cand is 1st (defense spending),0,70,6. Conservative,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",3. Moderately important,-8. Don't know,"-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD",-8. Don't know,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,0,70,,4,4,,,,,,,,
104485.37,2. Republican Presidential cand is 1st (defense spending),15,85,5. Slightly conservative,4,"-1. INAP, R selected for VERSION OLD",4,3. Somewhat important,4,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.6666667,15,85,4,,4,0,0,0,0,0,0,0,0
128375.05,2. Republican Presidential cand is 1st (defense spending),85,85,4. Moderate; middle of the road,"-1. INAP, R selected for VERSION NEW",4. About the same,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,1. A lot,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,85,85,,4,4,,,,,,,,
81200.551,2. Republican Presidential cand is 1st (defense spending),85,30,4. Moderate; middle of the road,7. Govt should provide many more services,"-1. INAP, R selected for VERSION OLD",7. Govt should increase defense spending,5. Extremely important,7. Govt should increase defense spending,7. Govt should increase defense spending,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,85,30,7,,7,0,0,0,0,0,0,0,0
259655.58,1. Democratic Presidential cand is 1st (defense spending),40,40,-7. Haven't thought much about it,6,"-1. INAP, R selected for VERSION OLD",3,3. Somewhat important,4,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0.5,0.5,40,40,6,,6,0,1,0,0,0,1,0,0
212110.97,1. Democratic Presidential cand is 1st (defense spending),40,85,4. Moderate; middle of the road,4,"-1. INAP, R selected for VERSION OLD",4,4. Very important,2,4,"-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f1; R selected for VERSION OLD","-1. INAP, R selected for VERSION OLD","-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",0,0.5,40,85,4,,4,0,0,0,0,0,0,0,1
225790.25,1. Democratic Presidential cand is 1st (defense spending),0,70,6. Conservative,"-1. INAP, R selected for VERSION NEW",7. A lot fewer,"-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW","-1. INAP, R selected for VERSION NEW",5. About the same,"-1. INAP, 5,-8,-9 in N2d; R selected for VERSION OLD",4. Very important,3. Less,1. A lot,5. About the same,"-1. INAP, 5,-8,-9 in N2f2; R selected for VERSION OLD",1,0.8333333,0,70,,1,1,,,,,,,,
